customer_unique_id,recency_days,frequency_orders,monetary_total,avg_order_value,avg_review_score,avg_delivery_days,last_purchase,churn_180d,R_score,F_score,M_score,RFM_score,segment_name
0004aac84e0df4da2b147fca70cf8255,287,1,180.0,180.0,5.0,13.0,2017-11-14 19:45:42,True,2,1,4,214,Hibernating
0005e1862207bf6ccc02e4228effd9a0,542,1,135.0,135.0,4.0,4.0,2017-03-04 23:32:12,True,1,1,3,113,Hibernating
0006fdc98a402fceb4eb0ee528f6a8d4,407,1,13.9,13.9,3.0,16.0,2017-07-18 09:23:10,True,1,1,1,111,Hibernating
000bfa1d2f1a41876493be685390d6d3,334,1,35.0,35.0,5.0,13.0,2017-09-29 14:46:58,True,2,1,1,211,Hibernating
000de6019bb59f34c099a907c151d855,376,1,229.8,229.8,2.0,4.0,2017-08-17 19:10:33,True,1,1,4,114,Hibernating
0012929d977a8d7280bb277c1e5f589d,315,1,129.9,129.9,1.0,7.0,2017-10-17 15:46:36,True,2,1,3,213,Hibernating
0019e8c501c85848ac0966d45226fa1d,120,1,159.99,159.99,5.0,17.0,2018-05-01 09:25:32,False,3,1,4,314,Regular
00293787e2aec37a9c253b63fdfe2049,306,1,237.8,237.8,3.0,12.0,2017-10-27 14:25:35,True,2,1,4,214,Hibernating
002da6dde369f6a8b4c999ed61eb5a87,139,1,44.99,44.99,5.0,1.0,2018-04-12 11:03:44,False,3,1,1,311,Need Attention
002eb8b96288f3804e21d2777ac29895,403,1,119.9,119.9,5.0,12.0,2017-07-22 13:24:06,True,1,1,3,113,Hibernating
003162bf0351f47a1a247992b8b9b42d,45,1,514.9,514.9,5.0,9.0,2018-07-14 15:45:27,False,4,1,4,414,New Customers
0036d365b138cc0ee06bed755bcb5044,210,1,79.9,79.9,5.0,19.0,2018-01-31 14:41:00,True,3,1,2,312,Need Attention
003ae409f37c3c30cb1c974af3a42692,14,1,195.0,195.0,3.0,12.0,2018-08-15 11:37:45,False,4,1,4,414,New Customers
003c457932a554e4df13834237b1ed00,236,1,129.9,129.9,5.0,3.0,2018-01-05 10:23:18,True,2,1,3,213,Hibernating
003e28cb6fab8a0901bff9229612375f,534,1,119.99,119.99,5.0,3.0,2017-03-13 14:54:17,True,1,1,3,113,Hibernating
004288347e5e88a27ded2bb23747066c,227,2,317.89,158.945,5.0,6.5,2018-01-14 07:36:54,True,2,1,4,214,Hibernating
0043d65f8039b4a4d43bc7b0f450ac2c,496,1,49.9,49.9,5.0,8.0,2017-04-20 12:57:14,True,1,1,2,112,Hibernating
